inspection_id,timestamp,machine_id,product_code,units_inspected,units_passed,defect_type,inspector
QC-0070,2024-01-01 23:15:00,MACH-001,Part-Beta,79,52,None,Auto-Vision
QC-0071,2024-01-01 23:30:00,MACH-003,Part-Beta,94,34,None,Auto-Vision
QC-0072,2024-01-01 23:45:00,MACH-004,Part-Gamma,39,35,None,Manual-QC1
QC-0073,2024-01-02 00:00:00,MACH-004,Part-Alpha,58,1,Assembly Error,Manual-QC2
QC-0074,2024-01-02 00:15:00,MACH-002,Part-Delta,16,65,None,Manual-QC1
QC-0075,2024-01-02 00:30:00,MACH-002,Part-Delta,85,23,None,Auto-Vision
QC-0076,2024-01-02 00:45:00,MACH-005,Part-Alpha,30,34,None,Auto-Vision
QC-0077,2024-01-02 01:00:00,MACH-005,Part-Gamma,50,61,None,Auto-Vision
QC-0078,2024-01-02 01:15:00,MACH-001,Part-Gamma,71,40,None,Manual-QC2
QC-0079,2024-01-02 01:30:00,MACH-004,Part-Alpha,10,4,Assembly Error,Manual-QC1
QC-0080,2024-01-02 01:45:00,MACH-001,Part-Gamma,56,47,None,Auto-Vision
QC-0081,2024-01-02 02:00:00,MACH-003,Part-Beta,99,18,None,Manual-QC2
QC-0082,2024-01-02 02:15:00,MACH-004,Part-Delta,12,43,None,Manual-QC2
QC-0083,2024-01-02 02:30:00,MACH-003,Part-Alpha,28,39,None,Auto-Vision
QC-0084,2024-01-02 02:45:00,MACH-002,Part-Beta,27,96,None,Manual-QC1
QC-0085,2024-01-02 03:00:00,MACH-001,Part-Beta,94,45,None,Manual-QC1
QC-0086,2024-01-02 03:15:00,MACH-002,Part-Delta,32,30,None,Manual-QC2
QC-0087,2024-01-02 03:30:00,MACH-002,Part-Gamma,24,28,None,Auto-Vision
QC-0088,2024-01-02 03:45:00,MACH-003,Part-Delta,90,55,None,Manual-QC1
QC-0089,2024-01-02 04:00:00,MACH-001,Part-Alpha,52,11,None,Manual-QC1
QC-0090,2024-01-02 04:15:00,MACH-002,Part-Delta,15,5,Assembly Error,Manual-QC2
QC-0091,2024-01-02 04:30:00,MACH-002,Part-Beta,22,9,None,Manual-QC1
QC-0092,2024-01-02 04:45:00,MACH-001,Part-Delta,18,22,None,Manual-QC1
QC-0093,2024-01-02 05:00:00,MACH-004,Part-Delta,27,85,None,Manual-QC2
QC-0094,2024-01-02 05:15:00,MACH-004,Part-Delta,42,2,Material Defect,Manual-QC2
QC-0095,2024-01-02 05:30:00,MACH-005,Part-Alpha,71,71,None,Manual-QC2
QC-0096,2024-01-02 05:45:00,MACH-005,Part-Beta,26,36,None,Manual-QC2
QC-0097,2024-01-02 06:00:00,MACH-002,Part-Beta,94,18,None,Manual-QC2
QC-0098,2024-01-02 06:15:00,MACH-004,Part-Gamma,88,1,Surface Scratch,Auto-Vision
QC-0099,2024-01-02 06:30:00,MACH-003,Part-Gamma,100,67,None,Manual-QC2
QC-0100,2024-01-02 06:45:00,MACH-005,Part-Gamma,26,49,None,Manual-QC1
QC-0101,2024-01-02 07:00:00,MACH-002,Part-Alpha,59,88,None,Auto-Vision
QC-0102,2024-01-02 07:15:00,MACH-002,Part-Alpha,28,89,None,Auto-Vision
QC-0103,2024-01-02 07:30:00,MACH-002,Part-Beta,60,49,None,Auto-Vision
QC-0104,2024-01-02 07:45:00,MACH-004,Part-Gamma,34,88,None,Manual-QC2
QC-0105,2024-01-02 08:00:00,MACH-002,Part-Delta,89,41,None,Manual-QC2
QC-0106,2024-01-02 08:15:00,MACH-003,Part-Gamma,53,31,None,Manual-QC1
QC-0107,2024-01-02 08:30:00,MACH-004,Part-Delta,94,20,None,Manual-QC2
QC-0108,2024-01-02 08:45:00,MACH-005,Part-Gamma,18,54,None,Manual-QC1
QC-0109,2024-01-02 09:00:00,MACH-005,Part-Beta,22,37,None,Manual-QC1
QC-0110,2024-01-02 09:15:00,MACH-001,Part-Gamma,26,52,None,Manual-QC1
QC-0111,2024-01-02 09:30:00,MACH-005,Part-Alpha,74,31,None,Manual-QC1
QC-0112,2024-01-02 09:45:00,MACH-005,Part-Beta,28,95,None,Auto-Vision
QC-0113,2024-01-02 10:00:00,MACH-002,Part-Gamma,77,84,None,Auto-Vision
QC-0114,2024-01-02 10:15:00,MACH-005,Part-Alpha,78,54,None,Manual-QC2
QC-0115,2024-01-02 10:30:00,MACH-005,Part-Beta,57,28,None,Auto-Vision
QC-0116,2024-01-02 10:45:00,MACH-005,Part-Beta,29,77,None,Manual-QC2
QC-0117,2024-01-02 11:00:00,MACH-002,Part-Gamma,16,59,None,Manual-QC1
QC-0118,2024-01-02 11:15:00,MACH-005,Part-Delta,70,67,None,Manual-QC1
QC-0119,2024-01-02 11:30:00,MACH-003,Part-Alpha,19,40,None,Manual-QC2
QC-0120,2024-01-02 11:45:00,MACH-003,Part-Beta,88,84,None,Auto-Vision
QC-0121,2024-01-02 12:00:00,MACH-004,Part-Beta,28,4,Surface Scratch,Auto-Vision
QC-0122,2024-01-02 12:15:00,MACH-002,Part-Delta,60,83,None,Auto-Vision
QC-0123,2024-01-02 12:30:00,MACH-003,Part-Alpha,38,43,None,Auto-Vision
QC-0124,2024-01-02 12:45:00,MACH-001,Part-Beta,36,64,None,Auto-Vision
QC-0125,2024-01-02 13:00:00,MACH-003,Part-Alpha,91,23,None,Manual-QC2
QC-0126,2024-01-02 13:15:00,MACH-001,Part-Delta,39,92,None,Manual-QC1
QC-0127,2024-01-02 13:30:00,MACH-001,Part-Delta,29,17,None,Manual-QC2
QC-0128,2024-01-02 13:45:00,MACH-003,Part-Alpha,58,40,None,Auto-Vision
QC-0129,2024-01-02 14:00:00,MACH-004,Part-Beta,100,96,None,Manual-QC1
QC-0130,2024-01-02 14:15:00,MACH-002,Part-Alpha,21,85,None,Manual-QC2
QC-0131,2024-01-02 14:30:00,MACH-002,Part-Delta,99,63,None,Manual-QC1
QC-0132,2024-01-02 14:45:00,MACH-001,Part-Gamma,45,3,Material Defect,Manual-QC1
QC-0133,2024-01-02 15:00:00,MACH-003,Part-Gamma,20,9,None,Auto-Vision
QC-0134,2024-01-02 15:15:00,MACH-004,Part-Beta,84,71,None,Auto-Vision
QC-0135,2024-01-02 15:30:00,MACH-003,Part-Alpha,100,70,None,Manual-QC2
QC-0136,2024-01-02 15:45:00,MACH-005,Part-Delta,87,74,None,Manual-QC2
QC-0137,2024-01-02 16:00:00,MACH-005,Part-Alpha,85,90,None,Auto-Vision
QC-0138,2024-01-02 16:15:00,MACH-001,Part-Beta,56,82,None,Manual-QC2
QC-0139,2024-01-02 16:30:00,MACH-005,Part-Delta,60,99,None,Manual-QC2
QC-0140,2024-01-02 16:45:00,MACH-004,Part-Delta,83,7,Dimensional,Manual-QC1
QC-0141,2024-01-02 17:00:00,MACH-004,Part-Alpha,37,80,None,Auto-Vision
QC-0142,2024-01-02 17:15:00,MACH-003,Part-Alpha,47,4,Dimensional,Manual-QC2
QC-0143,2024-01-02 17:30:00,MACH-003,Part-Gamma,97,52,None,Manual-QC1
QC-0144,2024-01-02 17:45:00,MACH-002,Part-Gamma,67,14,None,Manual-QC1
QC-0145,2024-01-02 18:00:00,MACH-003,Part-Beta,36,79,None,Manual-QC2
QC-0146,2024-01-02 18:15:00,MACH-004,Part-Gamma,32,71,None,Auto-Vision
QC-0147,2024-01-02 18:30:00,MACH-005,Part-Beta,50,47,None,Auto-Vision
QC-0148,2024-01-02 18:45:00,MACH-001,Part-Delta,50,87,None,Manual-QC1
QC-0149,2024-01-02 19:00:00,MACH-004,Part-Beta,43,98,None,Manual-QC1
QC-0150,2024-01-02 19:15:00,MACH-004,Part-Gamma,30,29,None,Manual-QC1
QC-0151,2024-01-02 19:30:00,MACH-002,Part-Gamma,74,6,Material Defect,Manual-QC2
QC-0152,2024-01-02 19:45:00,MACH-004,Part-Alpha,35,19,None,Auto-Vision
QC-0153,2024-01-02 20:00:00,MACH-004,Part-Gamma,28,99,None,Manual-QC1
QC-0154,2024-01-02 20:15:00,MACH-004,Part-Beta,59,21,None,Manual-QC2
QC-0155,2024-01-02 20:30:00,MACH-003,Part-Alpha,51,36,None,Manual-QC1
QC-0156,2024-01-02 20:45:00,MACH-002,Part-Beta,95,43,None,Auto-Vision
QC-0157,2024-01-02 21:00:00,MACH-002,Part-Beta,38,64,None,Manual-QC2
QC-0158,2024-01-02 21:15:00,MACH-002,Part-Alpha,47,39,None,Auto-Vision
QC-0159,2024-01-02 21:30:00,MACH-004,Part-Delta,63,79,None,Manual-QC2
QC-0160,2024-01-02 21:45:00,MACH-002,Part-Delta,33,74,None,Manual-QC2
QC-0161,2024-01-02 22:00:00,MACH-005,Part-Delta,43,98,None,Manual-QC1
QC-0162,2024-01-02 22:15:00,MACH-003,Part-Delta,57,54,None,Auto-Vision
QC-0163,2024-01-02 22:30:00,MACH-003,Part-Alpha,98,25,None,Manual-QC1
QC-0164,2024-01-02 22:45:00,MACH-002,Part-Beta,22,72,None,Manual-QC2
QC-0165,2024-01-02 23:00:00,MACH-003,Part-Alpha,87,37,None,Manual-QC2
QC-0166,2024-01-02 23:15:00,MACH-005,Part-Beta,69,42,None,Manual-QC2
QC-0167,2024-01-02 23:30:00,MACH-004,Part-Delta,73,83,None,Manual-QC1
QC-0168,2024-01-02 23:45:00,MACH-002,Part-Alpha,81,4,Dimensional,Manual-QC1
QC-0169,2024-01-03 00:00:00,MACH-002,Part-Alpha,97,53,None,Auto-Vision
QC-0170,2024-01-03 00:15:00,MACH-003,Part-Gamma,13,99,None,Manual-QC2
QC-0171,2024-01-03 00:30:00,MACH-002,Part-Delta,37,92,None,Manual-QC1
QC-0172,2024-01-03 00:45:00,MACH-003,Part-Gamma,39,80,None,Manual-QC2
QC-0173,2024-01-03 01:00:00,MACH-002,Part-Gamma,10,86,None,Auto-Vision
QC-0174,2024-01-03 01:15:00,MACH-003,Part-Alpha,19,86,None,Auto-Vision
QC-0175,2024-01-03 01:30:00,MACH-002,Part-Beta,41,84,None,Auto-Vision
QC-0176,2024-01-03 01:45:00,MACH-001,Part-Delta,25,50,None,Auto-Vision
QC-0177,2024-01-03 02:00:00,MACH-004,Part-Delta,62,4,Assembly Error,Auto-Vision
QC-0178,2024-01-03 02:15:00,MACH-002,Part-Alpha,49,53,None,Auto-Vision
QC-0179,2024-01-03 02:30:00,MACH-003,Part-Delta,21,31,None,Manual-QC1
QC-0180,2024-01-03 02:45:00,MACH-002,Part-Gamma,92,89,None,Auto-Vision
QC-0181,2024-01-03 03:00:00,MACH-001,Part-Gamma,12,85,None,Auto-Vision
QC-0182,2024-01-03 03:15:00,MACH-001,Part-Gamma,22,29,None,Auto-Vision
QC-0183,2024-01-03 03:30:00,MACH-005,Part-Alpha,10,49,None,Manual-QC1
QC-0184,2024-01-03 03:45:00,MACH-005,Part-Gamma,18,30,None,Auto-Vision
QC-0185,2024-01-03 04:00:00,MACH-004,Part-Beta,78,35,None,Manual-QC1
QC-0186,2024-01-03 04:15:00,MACH-002,Part-Gamma,83,2,Assembly Error,Manual-QC2
QC-0187,2024-01-03 04:30:00,MACH-002,Part-Beta,66,11,None,Manual-QC2
QC-0188,2024-01-03 04:45:00,MACH-005,Part-Alpha,49,3,Dimensional,Manual-QC1
QC-0189,2024-01-03 05:00:00,MACH-005,Part-Beta,22,71,None,Auto-Vision
QC-0190,2024-01-03 05:15:00,MACH-005,Part-Gamma,68,92,None,Manual-QC2
QC-0191,2024-01-03 05:30:00,MACH-004,Part-Alpha,95,78,None,Auto-Vision
QC-0192,2024-01-03 05:45:00,MACH-003,Part-Beta,40,70,None,Auto-Vision
QC-0193,2024-01-03 06:00:00,MACH-001,Part-Gamma,17,69,None,Manual-QC2
QC-0194,2024-01-03 06:15:00,MACH-005,Part-Alpha,76,19,None,Manual-QC2
QC-0195,2024-01-03 06:30:00,MACH-005,Part-Delta,79,90,None,Auto-Vision
QC-0196,2024-01-03 06:45:00,MACH-002,Part-Delta,35,45,None,Manual-QC2
QC-0197,2024-01-03 07:00:00,MACH-004,Part-Delta,20,70,None,Auto-Vision
QC-0198,2024-01-03 07:15:00,MACH-003,Part-Delta,88,57,None,Manual-QC1
QC-0199,2024-01-03 07:30:00,MACH-003,Part-Alpha,77,13,None,Auto-Vision
QC-0200,2024-01-03 07:45:00,MACH-003,Part-Beta,92,48,None,Manual-QC2
QC-0201,2024-01-03 08:00:00,MACH-001,Part-Alpha,48,4,Surface Scratch,Manual-QC1
QC-0202,2024-01-03 08:15:00,MACH-001,Part-Delta,75,75,None,Auto-Vision
QC-0203,2024-01-03 08:30:00,MACH-001,Part-Beta,22,66,None,Auto-Vision
QC-0204,2024-01-03 08:45:00,MACH-003,Part-Alpha,36,71,None,Auto-Vision
QC-0205,2024-01-03 09:00:00,MACH-005,Part-Alpha,15,56,None,Auto-Vision
QC-0206,2024-01-03 09:15:00,MACH-001,Part-Gamma,10,38,None,Manual-QC2
QC-0207,2024-01-03 09:30:00,MACH-003,Part-Beta,59,37,None,Manual-QC1
QC-0208,2024-01-03 09:45:00,MACH-004,Part-Alpha,29,26,None,Manual-QC2
QC-0209,2024-01-03 10:00:00,MACH-003,Part-Delta,97,81,None,Manual-QC2
QC-0210,2024-01-03 10:15:00,MACH-003,Part-Beta,93,42,None,Manual-QC1
QC-0211,2024-01-03 10:30:00,MACH-004,Part-Delta,58,43,None,Auto-Vision
QC-0212,2024-01-03 10:45:00,MACH-004,Part-Gamma,86,9,None,Manual-QC2
QC-0213,2024-01-03 11:00:00,MACH-001,Part-Delta,26,92,None,Manual-QC2
QC-0214,2024-01-03 11:15:00,MACH-001,Part-Alpha,30,70,None,Auto-Vision
QC-0215,2024-01-03 11:30:00,MACH-003,Part-Beta,42,95,None,Manual-QC2
QC-0216,2024-01-03 11:45:00,MACH-004,Part-Gamma,78,44,None,Manual-QC1
QC-0217,2024-01-03 12:00:00,MACH-003,Part-Alpha,25,58,None,Auto-Vision
QC-0218,2024-01-03 12:15:00,MACH-005,Part-Delta,35,24,None,Manual-QC2
QC-0219,2024-01-03 12:30:00,MACH-004,Part-Delta,23,22,None,Auto-Vision
QC-0220,2024-01-03 12:45:00,MACH-004,Part-Beta,20,7,Dimensional,Auto-Vision
QC-0221,2024-01-03 13:00:00,MACH-003,Part-Delta,28,64,None,Manual-QC2
QC-0222,2024-01-03 13:15:00,MACH-005,Part-Beta,36,100,None,Manual-QC1
QC-0223,2024-01-03 13:30:00,MACH-001,Part-Beta,53,7,Material Defect,Auto-Vision
QC-0224,2024-01-03 13:45:00,MACH-002,Part-Alpha,60,56,None,Auto-Vision
QC-0225,2024-01-03 14:00:00,MACH-005,Part-Alpha,38,31,None,Manual-QC2
QC-0226,2024-01-03 14:15:00,MACH-004,Part-Alpha,66,16,None,Auto-Vision
QC-0227,2024-01-03 14:30:00,MACH-003,Part-Beta,28,78,None,Manual-QC1
QC-0228,2024-01-03 14:45:00,MACH-001,Part-Delta,76,5,Dimensional,Manual-QC2
QC-0229,2024-01-03 15:00:00,MACH-003,Part-Gamma,14,26,None,Auto-Vision
QC-0230,2024-01-03 15:15:00,MACH-001,Part-Delta,10,80,None,Auto-Vision
QC-0231,2024-01-03 15:30:00,MACH-005,Part-Alpha,38,88,None,Auto-Vision
QC-0232,2024-01-03 15:45:00,MACH-001,Part-Alpha,93,68,None,Manual-QC2
QC-0233,2024-01-03 16:00:00,MACH-003,Part-Delta,67,38,None,Manual-QC2
QC-0234,2024-01-03 16:15:00,MACH-003,Part-Gamma,91,66,None,Manual-QC1
QC-0235,2024-01-03 16:30:00,MACH-002,Part-Delta,78,54,None,Auto-Vision
QC-0236,2024-01-03 16:45:00,MACH-002,Part-Delta,42,28,None,Manual-QC1
QC-0237,2024-01-03 17:00:00,MACH-004,Part-Gamma,28,13,None,Manual-QC1
QC-0238,2024-01-03 17:15:00,MACH-005,Part-Beta,61,24,None,Manual-QC2
QC-0239,2024-01-03 17:30:00,MACH-004,Part-Delta,63,66,None,Manual-QC2
QC-0240,2024-01-03 17:45:00,MACH-004,Part-Delta,56,51,None,Manual-QC1
QC-0241,2024-01-03 18:00:00,MACH-002,Part-Beta,41,35,None,Manual-QC2
QC-0242,2024-01-03 18:15:00,MACH-002,Part-Gamma,69,78,None,Manual-QC1
QC-0243,2024-01-03 18:30:00,MACH-003,Part-Beta,60,26,None,Manual-QC1
QC-0244,2024-01-03 18:45:00,MACH-004,Part-Gamma,89,4,Dimensional,Auto-Vision
QC-0245,2024-01-03 19:00:00,MACH-005,Part-Beta,94,57,None,Manual-QC2
QC-0246,2024-01-03 19:15:00,MACH-004,Part-Alpha,98,34,None,Manual-QC1
QC-0247,2024-01-03 19:30:00,MACH-002,Part-Gamma,97,80,None,Auto-Vision
QC-0248,2024-01-03 19:45:00,MACH-005,Part-Beta,29,60,None,Manual-QC1
QC-0249,2024-01-03 20:00:00,MACH-002,Part-Delta,50,86,None,Manual-QC2
QC-0250,2024-01-03 20:15:00,MACH-001,Part-Alpha,18,18,None,Auto-Vision
QC-0251,2024-01-03 20:30:00,MACH-001,Part-Gamma,21,3,Material Defect,Auto-Vision
QC-0252,2024-01-03 20:45:00,MACH-002,Part-Gamma,18,54,None,Manual-QC2
QC-0253,2024-01-03 21:00:00,MACH-005,Part-Delta,70,51,None,Manual-QC2
QC-0254,2024-01-03 21:15:00,MACH-003,Part-Alpha,81,28,None,Auto-Vision
QC-0255,2024-01-03 21:30:00,MACH-001,Part-Delta,30,79,None,Manual-QC2
QC-0256,2024-01-03 21:45:00,MACH-003,Part-Beta,24,92,None,Auto-Vision
QC-0257,2024-01-03 22:00:00,MACH-001,Part-Alpha,27,56,None,Manual-QC1
QC-0258,2024-01-03 22:15:00,MACH-002,Part-Alpha,85,96,None,Manual-QC1
QC-0259,2024-01-03 22:30:00,MACH-005,Part-Beta,67,10,None,Manual-QC1
QC-0260,2024-01-03 22:45:00,MACH-005,Part-Gamma,53,18,None,Manual-QC1
QC-0261,2024-01-03 23:00:00,MACH-002,Part-Gamma,96,4,Surface Scratch,Auto-Vision
QC-0262,2024-01-03 23:15:00,MACH-002,Part-Gamma,47,99,None,Auto-Vision
QC-0263,2024-01-03 23:30:00,MACH-004,Part-Alpha,89,83,None,Manual-QC1
QC-0264,2024-01-03 23:45:00,MACH-003,Part-Gamma,34,73,None,Manual-QC1
QC-0265,2024-01-04 00:00:00,MACH-001,Part-Delta,50,29,None,Auto-Vision
QC-0266,2024-01-04 00:15:00,MACH-003,Part-Gamma,67,63,None,Manual-QC1
QC-0267,2024-01-04 00:30:00,MACH-004,Part-Alpha,52,5,Dimensional,Auto-Vision
QC-0268,2024-01-04 00:45:00,MACH-005,Part-Alpha,83,10,None,Manual-QC1
QC-0269,2024-01-04 01:00:00,MACH-004,Part-Delta,59,12,None,Manual-QC2
QC-0270,2024-01-04 01:15:00,MACH-004,Part-Gamma,56,73,None,Manual-QC1
QC-0271,2024-01-04 01:30:00,MACH-003,Part-Beta,54,100,None,Manual-QC1
QC-0272,2024-01-04 01:45:00,MACH-004,Part-Gamma,44,18,None,Manual-QC1
QC-0273,2024-01-04 02:00:00,MACH-001,Part-Gamma,75,22,None,Auto-Vision
QC-0274,2024-01-04 02:15:00,MACH-001,Part-Beta,19,30,None,Manual-QC1
QC-0275,2024-01-04 02:30:00,MACH-005,Part-Beta,21,7,Dimensional,Auto-Vision
QC-0276,2024-01-04 02:45:00,MACH-003,Part-Alpha,29,82,None,Manual-QC2
QC-0277,2024-01-04 03:00:00,MACH-004,Part-Gamma,95,21,None,Manual-QC2
QC-0278,2024-01-04 03:15:00,MACH-002,Part-Beta,20,31,None,Auto-Vision
QC-0279,2024-01-04 03:30:00,MACH-001,Part-Alpha,65,95,None,Auto-Vision
QC-0280,2024-01-04 03:45:00,MACH-001,Part-Delta,51,88,None,Manual-QC2
QC-0281,2024-01-04 04:00:00,MACH-002,Part-Delta,87,98,None,Auto-Vision
QC-0282,2024-01-04 04:15:00,MACH-005,Part-Alpha,66,31,None,Manual-QC2
QC-0283,2024-01-04 04:30:00,MACH-002,Part-Beta,43,2,Surface Scratch,Manual-QC2
QC-0284,2024-01-04 04:45:00,MACH-001,Part-Beta,33,49,None,Auto-Vision
QC-0285,2024-01-04 05:00:00,MACH-005,Part-Gamma,86,60,None,Manual-QC2
QC-0286,2024-01-04 05:15:00,MACH-002,Part-Delta,42,52,None,Manual-QC2
QC-0287,2024-01-04 05:30:00,MACH-001,Part-Gamma,46,28,None,Auto-Vision
QC-0288,2024-01-04 05:45:00,MACH-004,Part-Gamma,17,5,Assembly Error,Auto-Vision
QC-0289,2024-01-04 06:00:00,MACH-004,Part-Alpha,96,19,None,Manual-QC1
QC-0290,2024-01-04 06:15:00,MACH-003,Part-Alpha,82,41,None,Manual-QC2
QC-0291,2024-01-04 06:30:00,MACH-004,Part-Gamma,71,55,None,Manual-QC1
QC-0292,2024-01-04 06:45:00,MACH-004,Part-Gamma,79,32,None,Auto-Vision
QC-0293,2024-01-04 07:00:00,MACH-001,Part-Gamma,62,67,None,Manual-QC1
QC-0294,2024-01-04 07:15:00,MACH-004,Part-Delta,69,65,None,Auto-Vision
QC-0295,2024-01-04 07:30:00,MACH-004,Part-Delta,13,25,None,Manual-QC1
QC-0296,2024-01-04 07:45:00,MACH-002,Part-Delta,56,9,None,Manual-QC1
