record_id,date,machine_id,task_type,component,technician,duration_hours,cost_usd,notes
MR-0025,2024-02-12,MACH-003,Predictive,PLC,Tech-04,7.7,1603.37,Lubricated all moving parts as per schedule
MR-0026,2024-02-15,MACH-005,Predictive,Bearing,Tech-02,2.8,1248.05,"Replaced worn bearing, vibration normalised"
MR-0027,2024-01-06,MACH-004,Predictive,Motor,Tech-02,7.5,62.2,"Replaced worn bearing, vibration normalised"
MR-0028,2024-01-03,MACH-002,Predictive,Belt,Tech-02,4.9,1762.9,"Replaced worn bearing, vibration normalised"
MR-0029,2024-01-16,MACH-002,Preventive,Coolant System,Tech-03,7.0,185.02,"Replaced worn bearing, vibration normalised"
MR-0030,2024-01-21,MACH-003,Emergency,Motor,Tech-02,5.3,880.08,Updated PLC firmware
MR-0031,2024-01-12,MACH-001,Predictive,Belt,Tech-03,6.9,1073.34,Emergency repair after motor fault alarm
MR-0032,2024-01-25,MACH-005,Emergency,Bearing,Tech-04,7.7,1396.2,Calibrated temperature sensor after drift detected
MR-0033,2024-01-28,MACH-004,Emergency,PLC,Tech-03,5.3,341.92,"Replaced worn bearing, vibration normalised"
MR-0034,2024-01-09,MACH-003,Corrective,Belt,Tech-03,2.1,1919.45,"Flushed coolant system, replaced filter"
MR-0035,2024-01-14,MACH-002,Preventive,PLC,Tech-02,1.9,172.69,Calibrated temperature sensor after drift detected
MR-0036,2024-02-08,MACH-002,Preventive,PLC,Tech-03,5.2,165.02,Updated PLC firmware
MR-0037,2024-01-01,MACH-001,Corrective,Sensor,Tech-03,4.2,447.72,"Flushed coolant system, replaced filter"
MR-0038,2024-01-30,MACH-003,Preventive,Hydraulic Pump,Tech-02,6.3,837.85,Updated PLC firmware
MR-0039,2024-01-06,MACH-004,Corrective,Coolant System,Tech-02,7.2,986.16,Lubricated all moving parts as per schedule
MR-0040,2024-01-17,MACH-003,Predictive,Sensor,Tech-02,3.3,1732.34,"Replaced worn bearing, vibration normalised"
MR-0041,2024-01-21,MACH-002,Preventive,Hydraulic Pump,Tech-04,3.4,1332.47,Calibrated temperature sensor after drift detected
MR-0042,2024-01-07,MACH-004,Preventive,Hydraulic Pump,Tech-02,5.9,1922.68,Updated PLC firmware
MR-0043,2024-01-31,MACH-002,Preventive,Sensor,Tech-02,2.0,1585.06,Updated PLC firmware
MR-0044,2024-01-14,MACH-005,Corrective,Coolant System,Tech-01,2.9,386.46,"Flushed coolant system, replaced filter"
MR-0045,2024-02-06,MACH-005,Corrective,PLC,Tech-04,7.1,1912.92,Updated PLC firmware
MR-0046,2024-01-28,MACH-003,Preventive,PLC,Tech-03,2.3,1123.78,Calibrated temperature sensor after drift detected
MR-0047,2024-01-11,MACH-003,Predictive,PLC,Tech-02,6.4,1718.61,"Flushed coolant system, replaced filter"
MR-0048,2024-01-14,MACH-003,Predictive,Belt,Tech-04,1.4,1463.33,Emergency repair after motor fault alarm
MR-0049,2024-02-01,MACH-002,Corrective,Coolant System,Tech-04,2.7,1886.7,"Flushed coolant system, replaced filter"
MR-0050,2024-01-22,MACH-003,Predictive,Hydraulic Pump,Tech-04,5.1,1463.81,Calibrated temperature sensor after drift detected
MR-0051,2024-01-29,MACH-005,Emergency,Motor,Tech-02,4.8,908.28,Calibrated temperature sensor after drift detected
MR-0052,2024-01-04,MACH-003,Corrective,PLC,Tech-04,6.2,1825.79,Updated PLC firmware
MR-0053,2024-01-08,MACH-002,Emergency,PLC,Tech-03,1.5,1904.91,"Flushed coolant system, replaced filter"
MR-0054,2024-01-16,MACH-002,Corrective,Motor,Tech-01,1.5,760.4,Updated PLC firmware
MR-0055,2024-01-04,MACH-005,Corrective,Bearing,Tech-01,7.1,567.36,"Flushed coolant system, replaced filter"
MR-0056,2024-02-01,MACH-005,Emergency,Hydraulic Pump,Tech-04,3.1,460.64,Updated PLC firmware
MR-0057,2024-02-15,MACH-003,Predictive,Bearing,Tech-02,5.3,818.97,"Replaced worn bearing, vibration normalised"
MR-0058,2024-01-03,MACH-002,Preventive,Belt,Tech-03,2.3,806.31,"Replaced worn bearing, vibration normalised"
MR-0059,2024-02-06,MACH-005,Predictive,Motor,Tech-04,1.0,1678.61,Calibrated temperature sensor after drift detected
MR-0060,2024-01-14,MACH-005,Preventive,Motor,Tech-02,5.3,376.59,Updated PLC firmware
MR-0061,2024-02-07,MACH-003,Preventive,Motor,Tech-03,2.0,590.51,"Belt tension adjusted, aligned rollers"
MR-0062,2024-02-02,MACH-002,Preventive,Hydraulic Pump,Tech-02,7.3,1174.27,Emergency repair after motor fault alarm
MR-0063,2024-01-06,MACH-002,Emergency,Motor,Tech-01,1.6,144.41,Calibrated temperature sensor after drift detected
MR-0064,2024-01-10,MACH-001,Corrective,Bearing,Tech-01,7.0,1851.78,Emergency repair after motor fault alarm
MR-0065,2024-01-27,MACH-004,Corrective,Motor,Tech-01,5.0,1504.74,"Replaced worn bearing, vibration normalised"
MR-0066,2024-01-08,MACH-001,Emergency,Sensor,Tech-01,1.5,402.38,"Replaced worn bearing, vibration normalised"
MR-0067,2024-02-09,MACH-001,Emergency,Bearing,Tech-03,5.5,1854.78,"Belt tension adjusted, aligned rollers"
MR-0068,2024-01-29,MACH-002,Corrective,Hydraulic Pump,Tech-02,0.8,1165.17,Emergency repair after motor fault alarm
MR-0069,2024-01-25,MACH-003,Corrective,Hydraulic Pump,Tech-01,5.5,937.92,Updated PLC firmware
MR-0070,2024-01-20,MACH-005,Preventive,Bearing,Tech-03,1.8,225.7,"Replaced worn bearing, vibration normalised"
MR-0071,2024-02-05,MACH-004,Corrective,Belt,Tech-01,4.8,686.95,Calibrated temperature sensor after drift detected
MR-0072,2024-01-10,MACH-005,Predictive,Sensor,Tech-02,0.6,1655.31,Calibrated temperature sensor after drift detected
MR-0073,2024-02-14,MACH-003,Predictive,PLC,Tech-04,6.8,178.73,Updated PLC firmware
MR-0074,2024-02-11,MACH-001,Corrective,PLC,Tech-03,1.5,1404.39,Emergency repair after motor fault alarm
MR-0075,2024-01-02,MACH-001,Corrective,Sensor,Tech-01,1.6,421.98,Lubricated all moving parts as per schedule
MR-0076,2024-02-05,MACH-003,Predictive,Sensor,Tech-03,6.2,304.15,"Belt tension adjusted, aligned rollers"
MR-0077,2024-01-02,MACH-003,Preventive,PLC,Tech-02,0.7,1980.69,"Replaced worn bearing, vibration normalised"
MR-0078,2024-01-28,MACH-001,Predictive,Hydraulic Pump,Tech-02,4.1,1137.18,Lubricated all moving parts as per schedule
MR-0079,2024-01-04,MACH-002,Preventive,Sensor,Tech-01,3.7,1730.83,"Replaced worn bearing, vibration normalised"
MR-0080,2024-01-27,MACH-002,Corrective,Bearing,Tech-03,4.5,1893.05,"Replaced worn bearing, vibration normalised"
MR-0081,2024-01-22,MACH-003,Predictive,Coolant System,Tech-02,6.7,1384.67,Updated PLC firmware
MR-0082,2024-01-01,MACH-002,Predictive,Motor,Tech-02,0.9,82.88,Lubricated all moving parts as per schedule
MR-0083,2024-01-26,MACH-004,Emergency,Belt,Tech-04,7.2,651.11,"Replaced worn bearing, vibration normalised"
MR-0084,2024-01-24,MACH-004,Predictive,Belt,Tech-03,3.7,386.34,Calibrated temperature sensor after drift detected
MR-0085,2024-01-17,MACH-004,Preventive,Bearing,Tech-03,4.0,55.33,"Replaced worn bearing, vibration normalised"
MR-0086,2024-02-05,MACH-001,Preventive,Coolant System,Tech-01,0.8,101.96,Updated PLC firmware
MR-0087,2024-01-27,MACH-005,Corrective,Motor,Tech-04,3.5,1538.72,"Replaced worn bearing, vibration normalised"
MR-0088,2024-02-01,MACH-002,Emergency,Hydraulic Pump,Tech-01,4.6,1057.86,"Belt tension adjusted, aligned rollers"
MR-0089,2024-02-12,MACH-003,Emergency,Motor,Tech-02,4.9,1743.44,"Replaced worn bearing, vibration normalised"
MR-0090,2024-01-22,MACH-001,Emergency,Motor,Tech-02,4.3,846.74,"Replaced worn bearing, vibration normalised"
MR-0091,2024-01-16,MACH-001,Emergency,PLC,Tech-02,3.0,1939.11,"Belt tension adjusted, aligned rollers"
MR-0092,2024-01-19,MACH-003,Predictive,Sensor,Tech-03,2.0,831.2,"Replaced worn bearing, vibration normalised"
MR-0093,2024-02-15,MACH-002,Preventive,Motor,Tech-04,1.9,1086.8,"Flushed coolant system, replaced filter"
MR-0094,2024-02-13,MACH-003,Emergency,Sensor,Tech-04,5.0,1017.54,Calibrated temperature sensor after drift detected
MR-0095,2024-01-08,MACH-005,Preventive,Belt,Tech-02,8.0,1617.12,"Belt tension adjusted, aligned rollers"
MR-0096,2024-01-13,MACH-005,Emergency,Bearing,Tech-04,7.4,1684.74,Emergency repair after motor fault alarm
MR-0097,2024-01-28,MACH-002,Preventive,Belt,Tech-01,4.4,1669.85,Updated PLC firmware
MR-0098,2024-01-31,MACH-001,Preventive,Motor,Tech-03,3.5,879.85,Lubricated all moving parts as per schedule
MR-0099,2024-01-22,MACH-005,Preventive,Coolant System,Tech-01,6.5,148.63,"Flushed coolant system, replaced filter"
MR-0100,2024-02-01,MACH-004,Preventive,Belt,Tech-01,0.6,1327.45,"Flushed coolant system, replaced filter"
MR-0101,2024-01-16,MACH-005,Preventive,Coolant System,Tech-03,4.8,664.34,Updated PLC firmware
MR-0102,2024-02-15,MACH-001,Predictive,Coolant System,Tech-02,0.8,1240.59,"Flushed coolant system, replaced filter"
MR-0103,2024-01-03,MACH-005,Predictive,PLC,Tech-04,7.5,820.25,"Flushed coolant system, replaced filter"
MR-0104,2024-02-03,MACH-004,Corrective,PLC,Tech-01,2.0,1201.12,Updated PLC firmware
MR-0105,2024-01-08,MACH-004,Emergency,Hydraulic Pump,Tech-03,1.3,1820.75,"Replaced worn bearing, vibration normalised"
MR-0106,2024-01-10,MACH-002,Emergency,Belt,Tech-01,4.1,1163.48,Calibrated temperature sensor after drift detected
MR-0107,2024-01-15,MACH-002,Predictive,Sensor,Tech-02,2.1,1393.32,"Flushed coolant system, replaced filter"
MR-0108,2024-02-12,MACH-005,Predictive,Hydraulic Pump,Tech-01,8.0,919.83,"Replaced worn bearing, vibration normalised"
MR-0109,2024-01-05,MACH-003,Corrective,Sensor,Tech-02,0.7,961.17,"Flushed coolant system, replaced filter"
MR-0110,2024-01-30,MACH-005,Corrective,Motor,Tech-01,3.6,1690.0,Updated PLC firmware
MR-0111,2024-02-12,MACH-001,Predictive,Motor,Tech-01,2.3,1384.48,"Belt tension adjusted, aligned rollers"
MR-0112,2024-02-09,MACH-005,Emergency,Bearing,Tech-01,1.1,916.69,"Replaced worn bearing, vibration normalised"
MR-0113,2024-02-04,MACH-005,Predictive,PLC,Tech-01,6.6,1710.23,"Flushed coolant system, replaced filter"
MR-0114,2024-01-26,MACH-003,Predictive,Hydraulic Pump,Tech-02,1.7,284.47,Lubricated all moving parts as per schedule
MR-0115,2024-02-03,MACH-005,Corrective,Hydraulic Pump,Tech-04,7.8,778.91,"Replaced worn bearing, vibration normalised"
MR-0116,2024-02-04,MACH-002,Preventive,Coolant System,Tech-01,2.4,141.3,Emergency repair after motor fault alarm
MR-0117,2024-01-21,MACH-004,Preventive,Coolant System,Tech-02,6.8,791.49,"Replaced worn bearing, vibration normalised"
MR-0118,2024-01-20,MACH-005,Emergency,Motor,Tech-01,7.5,1046.25,Emergency repair after motor fault alarm
MR-0119,2024-02-13,MACH-005,Predictive,Coolant System,Tech-02,5.0,875.78,"Flushed coolant system, replaced filter"
MR-0120,2024-01-10,MACH-004,Emergency,Hydraulic Pump,Tech-04,5.5,147.55,"Replaced worn bearing, vibration normalised"
MR-0121,2024-02-07,MACH-003,Corrective,PLC,Tech-01,2.4,1591.42,"Belt tension adjusted, aligned rollers"
MR-0122,2024-02-07,MACH-004,Preventive,Belt,Tech-04,0.8,1804.19,Updated PLC firmware
MR-0123,2024-01-16,MACH-002,Emergency,Belt,Tech-02,3.0,785.9,"Replaced worn bearing, vibration normalised"
MR-0124,2024-01-30,MACH-005,Emergency,Bearing,Tech-03,5.3,1775.3,Emergency repair after motor fault alarm
MR-0125,2024-02-14,MACH-003,Emergency,Sensor,Tech-02,5.9,1874.34,Emergency repair after motor fault alarm
MR-0126,2024-01-02,MACH-003,Emergency,Hydraulic Pump,Tech-03,1.6,915.7,Calibrated temperature sensor after drift detected
MR-0127,2024-02-05,MACH-003,Preventive,Sensor,Tech-02,1.7,1870.16,"Flushed coolant system, replaced filter"
MR-0128,2024-01-16,MACH-004,Predictive,Hydraulic Pump,Tech-02,0.5,1936.94,"Belt tension adjusted, aligned rollers"
MR-0129,2024-01-15,MACH-003,Emergency,Hydraulic Pump,Tech-02,5.1,1766.65,Calibrated temperature sensor after drift detected
MR-0130,2024-01-17,MACH-004,Emergency,Bearing,Tech-04,5.0,182.89,"Replaced worn bearing, vibration normalised"
MR-0131,2024-02-09,MACH-001,Preventive,Belt,Tech-01,2.1,1667.91,"Flushed coolant system, replaced filter"
MR-0132,2024-01-16,MACH-003,Corrective,Coolant System,Tech-02,5.9,260.52,Calibrated temperature sensor after drift detected
MR-0133,2024-01-31,MACH-004,Preventive,Belt,Tech-02,7.9,135.39,Lubricated all moving parts as per schedule
MR-0134,2024-01-21,MACH-005,Preventive,Sensor,Tech-03,6.3,1415.65,Calibrated temperature sensor after drift detected
MR-0135,2024-01-24,MACH-003,Predictive,Sensor,Tech-02,2.5,1251.75,Emergency repair after motor fault alarm
MR-0136,2024-01-21,MACH-001,Corrective,PLC,Tech-03,2.6,1586.01,Emergency repair after motor fault alarm
MR-0137,2024-01-26,MACH-001,Emergency,Coolant System,Tech-04,7.2,1866.15,"Replaced worn bearing, vibration normalised"
MR-0138,2024-02-03,MACH-002,Predictive,Hydraulic Pump,Tech-01,4.6,1915.03,Updated PLC firmware
MR-0139,2024-01-01,MACH-004,Emergency,Coolant System,Tech-02,1.2,205.26,Lubricated all moving parts as per schedule
MR-0140,2024-01-27,MACH-005,Preventive,Coolant System,Tech-02,6.8,1263.97,Emergency repair after motor fault alarm
MR-0141,2024-02-10,MACH-004,Predictive,Hydraulic Pump,Tech-04,5.1,1099.89,"Belt tension adjusted, aligned rollers"
MR-0142,2024-01-16,MACH-005,Emergency,PLC,Tech-04,2.8,1038.11,"Flushed coolant system, replaced filter"
MR-0143,2024-01-20,MACH-001,Predictive,Belt,Tech-03,7.8,1616.98,"Replaced worn bearing, vibration normalised"
MR-0144,2024-01-08,MACH-001,Corrective,PLC,Tech-02,0.9,1390.53,Emergency repair after motor fault alarm
MR-0145,2024-01-24,MACH-002,Emergency,PLC,Tech-01,3.1,187.25,"Replaced worn bearing, vibration normalised"
MR-0146,2024-01-28,MACH-001,Corrective,Coolant System,Tech-04,2.1,663.06,Emergency repair after motor fault alarm
MR-0147,2024-02-15,MACH-002,Preventive,Hydraulic Pump,Tech-03,3.0,1219.01,Emergency repair after motor fault alarm
MR-0148,2024-02-01,MACH-001,Preventive,Motor,Tech-03,6.6,632.49,"Flushed coolant system, replaced filter"
MR-0149,2024-01-17,MACH-002,Preventive,Belt,Tech-04,8.0,1380.7,Lubricated all moving parts as per schedule
MR-0150,2024-02-05,MACH-005,Emergency,Sensor,Tech-04,3.6,687.41,Emergency repair after motor fault alarm
MR-0151,2024-01-17,MACH-002,Preventive,Coolant System,Tech-03,2.9,1737.1,Emergency repair after motor fault alarm
MR-0152,2024-01-29,MACH-003,Preventive,Hydraulic Pump,Tech-04,6.4,651.62,Lubricated all moving parts as per schedule
MR-0153,2024-01-15,MACH-002,Preventive,Sensor,Tech-02,2.3,1575.35,Lubricated all moving parts as per schedule
MR-0154,2024-01-26,MACH-004,Corrective,Coolant System,Tech-02,6.3,706.19,Lubricated all moving parts as per schedule
MR-0155,2024-01-04,MACH-001,Emergency,PLC,Tech-03,5.0,726.7,"Replaced worn bearing, vibration normalised"
MR-0156,2024-01-01,MACH-004,Corrective,Coolant System,Tech-02,1.4,346.7,Calibrated temperature sensor after drift detected
MR-0157,2024-01-29,MACH-004,Emergency,PLC,Tech-04,2.8,311.96,Lubricated all moving parts as per schedule
MR-0158,2024-02-09,MACH-001,Emergency,Motor,Tech-01,1.1,597.81,"Replaced worn bearing, vibration normalised"
MR-0159,2024-01-06,MACH-003,Predictive,Hydraulic Pump,Tech-04,8.0,61.93,"Flushed coolant system, replaced filter"
MR-0160,2024-01-01,MACH-001,Emergency,Hydraulic Pump,Tech-04,4.1,1014.34,"Flushed coolant system, replaced filter"
MR-0161,2024-01-09,MACH-002,Preventive,Bearing,Tech-03,3.8,1581.91,"Replaced worn bearing, vibration normalised"
MR-0162,2024-01-18,MACH-004,Corrective,PLC,Tech-04,6.4,1712.85,Updated PLC firmware
MR-0163,2024-01-28,MACH-001,Corrective,PLC,Tech-01,7.4,154.27,"Flushed coolant system, replaced filter"
MR-0164,2024-01-17,MACH-002,Emergency,Belt,Tech-02,3.7,1408.05,Updated PLC firmware
MR-0165,2024-01-25,MACH-005,Preventive,Sensor,Tech-03,7.8,1289.34,Lubricated all moving parts as per schedule
MR-0166,2024-01-17,MACH-005,Corrective,Belt,Tech-02,1.4,1137.11,"Belt tension adjusted, aligned rollers"
MR-0167,2024-01-15,MACH-005,Predictive,Belt,Tech-03,6.5,1960.9,Lubricated all moving parts as per schedule
MR-0168,2024-01-04,MACH-001,Emergency,Belt,Tech-03,5.4,606.15,Emergency repair after motor fault alarm
MR-0169,2024-01-22,MACH-002,Corrective,Coolant System,Tech-01,1.3,1891.71,Calibrated temperature sensor after drift detected
MR-0170,2024-02-15,MACH-004,Predictive,Coolant System,Tech-04,5.6,1260.54,"Belt tension adjusted, aligned rollers"
MR-0171,2024-01-06,MACH-004,Emergency,Coolant System,Tech-04,6.2,523.65,Lubricated all moving parts as per schedule
MR-0172,2024-02-11,MACH-002,Emergency,Bearing,Tech-01,1.9,1673.58,"Flushed coolant system, replaced filter"
MR-0173,2024-01-25,MACH-002,Preventive,Sensor,Tech-03,5.9,1327.36,"Replaced worn bearing, vibration normalised"
MR-0174,2024-01-05,MACH-005,Emergency,Bearing,Tech-01,2.4,1443.78,Calibrated temperature sensor after drift detected
MR-0175,2024-01-03,MACH-004,Corrective,Belt,Tech-02,2.5,1792.9,Lubricated all moving parts as per schedule
MR-0176,2024-01-15,MACH-003,Preventive,Motor,Tech-01,4.4,1444.55,Emergency repair after motor fault alarm
MR-0177,2024-01-29,MACH-004,Predictive,Hydraulic Pump,Tech-01,6.8,723.41,Calibrated temperature sensor after drift detected
MR-0178,2024-01-18,MACH-003,Predictive,PLC,Tech-03,2.5,883.62,"Belt tension adjusted, aligned rollers"
MR-0179,2024-02-04,MACH-002,Predictive,PLC,Tech-01,4.1,1258.11,Emergency repair after motor fault alarm
MR-0180,2024-02-15,MACH-005,Preventive,Motor,Tech-03,2.3,1211.73,Calibrated temperature sensor after drift detected
MR-0181,2024-02-04,MACH-004,Predictive,Coolant System,Tech-04,6.5,1157.4,Emergency repair after motor fault alarm
MR-0182,2024-02-07,MACH-005,Corrective,Coolant System,Tech-01,2.8,1971.3,Emergency repair after motor fault alarm
MR-0183,2024-02-07,MACH-002,Emergency,Motor,Tech-03,6.8,1378.0,Lubricated all moving parts as per schedule
MR-0184,2024-01-25,MACH-002,Preventive,Coolant System,Tech-01,7.0,1973.67,"Flushed coolant system, replaced filter"
MR-0185,2024-01-25,MACH-003,Corrective,Belt,Tech-02,7.3,1671.7,Updated PLC firmware
MR-0186,2024-01-15,MACH-005,Emergency,Bearing,Tech-02,2.3,1595.08,Calibrated temperature sensor after drift detected
MR-0187,2024-01-08,MACH-005,Emergency,Motor,Tech-04,7.4,356.38,"Flushed coolant system, replaced filter"
MR-0188,2024-01-14,MACH-002,Preventive,PLC,Tech-02,1.8,286.2,"Belt tension adjusted, aligned rollers"
MR-0189,2024-01-08,MACH-001,Corrective,Bearing,Tech-02,7.2,81.74,Updated PLC firmware
MR-0190,2024-02-03,MACH-004,Emergency,Sensor,Tech-04,1.4,1824.58,"Flushed coolant system, replaced filter"
MR-0191,2024-02-10,MACH-005,Emergency,PLC,Tech-04,1.4,1118.1,"Belt tension adjusted, aligned rollers"
MR-0192,2024-01-19,MACH-002,Predictive,Sensor,Tech-01,2.7,1838.67,Calibrated temperature sensor after drift detected
MR-0193,2024-02-05,MACH-003,Predictive,PLC,Tech-02,5.3,215.85,"Flushed coolant system, replaced filter"
MR-0194,2024-01-04,MACH-004,Predictive,Sensor,Tech-02,2.0,653.19,"Belt tension adjusted, aligned rollers"
MR-0195,2024-02-07,MACH-003,Preventive,Motor,Tech-01,2.0,1557.53,"Replaced worn bearing, vibration normalised"
MR-0196,2024-01-30,MACH-004,Corrective,Motor,Tech-03,6.6,593.95,Lubricated all moving parts as per schedule
MR-0197,2024-02-07,MACH-004,Emergency,Coolant System,Tech-01,3.0,1810.73,"Replaced worn bearing, vibration normalised"
MR-0198,2024-01-28,MACH-004,Emergency,Sensor,Tech-03,1.2,75.43,Updated PLC firmware
MR-0199,2024-01-26,MACH-003,Predictive,Coolant System,Tech-01,5.8,1422.96,Calibrated temperature sensor after drift detected
MR-0200,2024-01-19,MACH-001,Emergency,Hydraulic Pump,Tech-03,1.3,1247.53,"Flushed coolant system, replaced filter"
