timestamp,machine_id,production_line,temperature_C,vibration_mm_s,pressure_bar,status,fault_type
2024-01-01 10:50:00,MACH-005,Line-A,94.94,1.116,100.5,Warning,
2024-01-01 10:55:00,MACH-004,Line-B,79.75,0.793,120.53,Running,
2024-01-01 11:00:00,MACH-002,Line-B,81.72,0.892,97.92,Running,
2024-01-01 11:05:00,MACH-002,Line-B,76.51,0.635,89.85,Running,
2024-01-01 11:10:00,MACH-002,Line-B,80.18,0.529,90.56,Running,
2024-01-01 11:15:00,MACH-003,Line-C,109.1,1.348,99.11,Idle,
2024-01-01 11:20:00,MACH-003,Line-B,90.89,1.028,111.12,Running,
2024-01-01 11:25:00,MACH-001,Line-B,93.47,0.273,94.75,Running,
2024-01-01 11:30:00,MACH-004,Line-B,107.82,2.227,101.11,Fault,
2024-01-01 11:35:00,MACH-001,Line-C,97.24,1.525,78.1,Fault,
2024-01-01 11:40:00,MACH-002,Line-C,57.28,0.806,112.28,Running,
2024-01-01 11:45:00,MACH-001,Line-C,89.66,2.089,93.01,Idle,
2024-01-01 11:50:00,MACH-004,Line-B,69.52,0.645,107.28,Running,
2024-01-01 11:55:00,MACH-002,Line-A,100.99,1.681,111.96,Fault,
2024-01-01 12:00:00,MACH-003,Line-B,78.48,1.01,93.09,Running,
2024-01-01 12:05:00,MACH-004,Line-C,90.62,1.877,111.03,Idle,
2024-01-01 12:10:00,MACH-002,Line-A,103.3,1.983,93.94,Idle,
2024-01-01 12:15:00,MACH-003,Line-A,69.64,0.559,94.71,Running,
2024-01-01 12:20:00,MACH-002,Line-A,96.82,1.706,87.89,Warning,
2024-01-01 12:25:00,MACH-004,Line-A,100.77,1.817,114.6,Warning,
2024-01-01 12:30:00,MACH-001,Line-A,104.04,2.475,96.81,Warning,Motor Fault
2024-01-01 12:35:00,MACH-001,Line-C,94.71,1.941,85.93,Warning,Low Pressure
2024-01-01 12:40:00,MACH-005,Line-C,91.03,0.305,87.89,Running,
2024-01-01 12:45:00,MACH-004,Line-B,86.71,2.195,90.07,Fault,
2024-01-01 12:50:00,MACH-004,Line-B,75.17,-0.074,97.04,Running,
2024-01-01 12:55:00,MACH-002,Line-A,88.67,0.059,105.83,Running,
2024-01-01 13:00:00,MACH-003,Line-C,70.77,0.839,104.68,Running,
2024-01-01 13:05:00,MACH-002,Line-B,99.43,1.87,110.09,Idle,
2024-01-01 13:10:00,MACH-005,Line-C,108.99,2.016,86.83,Warning,
2024-01-01 13:15:00,MACH-001,Line-B,103.77,1.09,103.45,Fault,
2024-01-01 13:20:00,MACH-004,Line-A,94.84,1.423,94.38,Warning,
2024-01-01 13:25:00,MACH-003,Line-C,91.59,2.067,101.64,Warning,
2024-01-01 13:30:00,MACH-004,Line-A,99.57,2.09,109.7,Idle,
2024-01-01 13:35:00,MACH-004,Line-B,103.02,1.735,96.42,Fault,
2024-01-01 13:40:00,MACH-002,Line-B,102.42,1.891,102.12,Warning,Low Pressure
2024-01-01 13:45:00,MACH-003,Line-C,101.91,1.972,90.29,Warning,Sensor Error
2024-01-01 13:50:00,MACH-005,Line-C,82.43,0.5,89.77,Running,
2024-01-01 13:55:00,MACH-001,Line-A,63.71,0.69,97.92,Running,
2024-01-01 14:00:00,MACH-005,Line-B,75.65,0.839,118.29,Running,
2024-01-01 14:05:00,MACH-003,Line-C,87.8,0.703,111.89,Running,
2024-01-01 14:10:00,MACH-001,Line-C,78.73,0.468,108.54,Running,
2024-01-01 14:15:00,MACH-004,Line-C,96.11,2.208,107.04,Warning,Motor Fault
2024-01-01 14:20:00,MACH-002,Line-C,72.79,0.26,92.74,Running,
2024-01-01 14:25:00,MACH-001,Line-A,61.74,0.068,96.99,Running,
2024-01-01 14:30:00,MACH-005,Line-B,86.55,2.291,102.07,Idle,
2024-01-01 14:35:00,MACH-004,Line-C,91.61,1.907,105.1,Idle,
2024-01-01 14:40:00,MACH-003,Line-B,96.38,1.469,106.14,Fault,
2024-01-01 14:45:00,MACH-002,Line-B,65.47,0.441,110.77,Running,
2024-01-01 14:50:00,MACH-005,Line-B,90.17,2.1,94.75,Fault,
2024-01-01 14:55:00,MACH-003,Line-B,83.24,0.425,113.23,Running,
2024-01-01 15:00:00,MACH-005,Line-C,69.82,0.48,100.55,Running,
2024-01-01 15:05:00,MACH-002,Line-B,103.16,1.332,102.36,Idle,
2024-01-01 15:10:00,MACH-001,Line-B,72.77,0.794,100.62,Running,
2024-01-01 15:15:00,MACH-004,Line-C,106.8,1.238,128.06,Fault,
2024-01-01 15:20:00,MACH-003,Line-A,73.14,0.272,99.96,Running,
2024-01-01 15:25:00,MACH-003,Line-C,79.06,0.467,75.47,Running,
2024-01-01 15:30:00,MACH-002,Line-C,76.93,0.838,95.64,Running,
2024-01-01 15:35:00,MACH-005,Line-B,53.35,1.063,97.69,Running,
2024-01-01 15:40:00,MACH-002,Line-A,75.58,0.546,92.18,Running,
2024-01-01 15:45:00,MACH-005,Line-B,73.64,0.449,95.08,Running,
2024-01-01 15:50:00,MACH-001,Line-A,66.95,0.348,94.06,Running,
2024-01-01 15:55:00,MACH-003,Line-A,96.87,1.933,90.9,Warning,Vibration Spike
2024-01-01 16:00:00,MACH-005,Line-A,93.22,1.641,109.15,Idle,
2024-01-01 16:05:00,MACH-002,Line-C,56.9,0.209,96.3,Running,
2024-01-01 16:10:00,MACH-005,Line-C,76.26,0.21,107.05,Running,
2024-01-01 16:15:00,MACH-004,Line-C,71.35,0.404,98.53,Running,
2024-01-01 16:20:00,MACH-001,Line-C,70.58,0.333,106.46,Running,
2024-01-01 16:25:00,MACH-001,Line-C,77.89,0.828,100.18,Running,
2024-01-01 16:30:00,MACH-004,Line-A,81.46,0.55,95.96,Running,
2024-01-01 16:35:00,MACH-002,Line-C,90.52,0.599,86.39,Running,
2024-01-01 16:40:00,MACH-002,Line-A,83.9,1.68,115.71,Warning,Vibration Spike
2024-01-01 16:45:00,MACH-001,Line-C,66.85,0.607,87.03,Running,
2024-01-01 16:50:00,MACH-003,Line-C,88.32,1.85,93.48,Warning,Vibration Spike
2024-01-01 16:55:00,MACH-004,Line-C,98.67,1.286,87.88,Warning,Vibration Spike
2024-01-01 17:00:00,MACH-003,Line-C,100.69,1.835,90.91,Fault,Sensor Error
2024-01-01 17:05:00,MACH-001,Line-A,80.88,1.971,88.19,Idle,
2024-01-01 17:10:00,MACH-004,Line-B,99.38,1.704,87.8,Fault,
2024-01-01 17:15:00,MACH-001,Line-A,89.2,1.579,104.79,Warning,
2024-01-01 17:20:00,MACH-002,Line-C,67.05,0.685,94.72,Running,
2024-01-01 17:25:00,MACH-001,Line-B,88.1,1.695,108.12,Warning,Vibration Spike
2024-01-01 17:30:00,MACH-005,Line-B,69.51,0.186,94.49,Running,
2024-01-01 17:35:00,MACH-005,Line-C,97.67,1.813,93.27,Warning,
2024-01-01 17:40:00,MACH-002,Line-C,63.54,0.676,119.44,Running,
2024-01-01 17:45:00,MACH-002,Line-C,109.87,2.007,110.61,Idle,
2024-01-01 17:50:00,MACH-004,Line-C,77.43,1.068,118.34,Running,
2024-01-01 17:55:00,MACH-002,Line-B,107.68,1.561,99.55,Warning,Sensor Error
2024-01-01 18:00:00,MACH-004,Line-C,70.69,0.545,104.93,Running,
2024-01-01 18:05:00,MACH-002,Line-B,85.08,0.413,117.43,Running,
2024-01-01 18:10:00,MACH-003,Line-C,97.8,1.579,96.01,Fault,Sensor Error
2024-01-01 18:15:00,MACH-004,Line-B,85.15,0.174,103.79,Running,
2024-01-01 18:20:00,MACH-005,Line-C,88.23,1.873,105.81,Fault,
2024-01-01 18:25:00,MACH-004,Line-B,86.46,0.691,91.91,Running,
2024-01-01 18:30:00,MACH-004,Line-C,101.71,1.648,117.68,Idle,
2024-01-01 18:35:00,MACH-002,Line-B,93.97,2.346,118.48,Warning,Overheating
2024-01-01 18:40:00,MACH-001,Line-C,86.28,1.746,98.23,Warning,Vibration Spike
2024-01-01 18:45:00,MACH-002,Line-B,66.91,-0.277,105.03,Running,
2024-01-01 18:50:00,MACH-005,Line-C,92.38,1.874,92.9,Idle,
2024-01-01 18:55:00,MACH-004,Line-B,85.55,0.062,85.05,Running,
2024-01-01 19:00:00,MACH-005,Line-A,70.67,0.352,96.7,Running,
2024-01-01 19:05:00,MACH-001,Line-A,88.97,1.83,84.43,Warning,Vibration Spike
2024-01-01 19:10:00,MACH-004,Line-B,69.04,-0.109,117.1,Running,
2024-01-01 19:15:00,MACH-003,Line-B,79.07,0.296,103.16,Running,
2024-01-01 19:20:00,MACH-005,Line-C,96.29,1.623,117.79,Idle,
2024-01-01 19:25:00,MACH-002,Line-B,102.71,2.008,108.71,Warning,
2024-01-01 19:30:00,MACH-004,Line-C,66.45,-0.057,91.96,Running,
2024-01-01 19:35:00,MACH-002,Line-C,76.43,0.242,103.3,Running,
2024-01-01 19:40:00,MACH-003,Line-B,106.9,1.691,91.83,Idle,
2024-01-01 19:45:00,MACH-004,Line-C,76.82,0.531,112.98,Running,
2024-01-01 19:50:00,MACH-003,Line-C,88.8,2.595,95.63,Idle,
2024-01-01 19:55:00,MACH-001,Line-A,89.63,2.122,81.26,Fault,
2024-01-01 20:00:00,MACH-005,Line-C,76.01,0.691,99.93,Running,
2024-01-01 20:05:00,MACH-002,Line-A,108.43,2.145,108.06,Idle,
2024-01-01 20:10:00,MACH-003,Line-C,83.6,1.566,107.06,Warning,Overheating
2024-01-01 20:15:00,MACH-004,Line-B,78.59,0.66,116.74,Running,
2024-01-01 20:20:00,MACH-005,Line-B,97.99,1.598,105.19,Fault,Sensor Error
2024-01-01 20:25:00,MACH-003,Line-A,66.82,0.384,100.78,Running,
2024-01-01 20:30:00,MACH-004,Line-B,101.76,1.962,99.53,Fault,
2024-01-01 20:35:00,MACH-003,Line-A,99.09,2.113,78.67,Fault,
2024-01-01 20:40:00,MACH-002,Line-C,81.0,1.31,93.54,Warning,Overheating
2024-01-01 20:45:00,MACH-001,Line-B,104.69,2.094,80.4,Idle,
2024-01-01 20:50:00,MACH-004,Line-A,87.35,1.058,96.1,Running,
2024-01-01 20:55:00,MACH-002,Line-C,103.78,1.579,106.2,Fault,Low Pressure
2024-01-01 21:00:00,MACH-005,Line-B,94.77,1.626,96.07,Warning,
2024-01-01 21:05:00,MACH-005,Line-B,96.86,2.083,101.96,Warning,Sensor Error
2024-01-01 21:10:00,MACH-004,Line-C,77.25,0.392,95.07,Running,
2024-01-01 21:15:00,MACH-003,Line-A,65.78,0.344,103.87,Running,
2024-01-01 21:20:00,MACH-004,Line-B,69.03,0.133,98.3,Running,
2024-01-01 21:25:00,MACH-002,Line-C,74.05,0.547,93.4,Running,
2024-01-01 21:30:00,MACH-002,Line-C,97.25,1.598,102.69,Fault,Motor Fault
2024-01-01 21:35:00,MACH-001,Line-A,61.06,0.606,95.66,Running,
2024-01-01 21:40:00,MACH-005,Line-B,76.16,0.362,103.55,Running,
2024-01-01 21:45:00,MACH-002,Line-A,91.84,2.034,100.78,Fault,
2024-01-01 21:50:00,MACH-004,Line-A,94.75,1.459,102.1,Fault,Vibration Spike
2024-01-01 21:55:00,MACH-004,Line-C,85.55,1.884,99.0,Fault,Motor Fault
2024-01-01 22:00:00,MACH-005,Line-B,55.08,0.702,110.6,Running,
2024-01-01 22:05:00,MACH-004,Line-B,98.41,2.169,109.91,Idle,
2024-01-01 22:10:00,MACH-001,Line-C,73.02,0.653,109.82,Running,
2024-01-01 22:15:00,MACH-005,Line-C,102.97,1.359,128.79,Idle,
2024-01-01 22:20:00,MACH-003,Line-C,92.12,1.716,94.16,Warning,
2024-01-01 22:25:00,MACH-005,Line-A,80.05,2.011,92.07,Idle,
2024-01-01 22:30:00,MACH-004,Line-B,78.77,0.232,98.89,Running,
2024-01-01 22:35:00,MACH-003,Line-B,68.13,0.938,95.62,Running,
2024-01-01 22:40:00,MACH-001,Line-A,76.74,0.384,113.46,Running,
2024-01-01 22:45:00,MACH-005,Line-B,82.47,0.17,93.36,Running,
2024-01-01 22:50:00,MACH-001,Line-A,108.35,1.291,80.31,Warning,
2024-01-01 22:55:00,MACH-003,Line-A,103.29,1.565,110.55,Fault,Sensor Error
2024-01-01 23:00:00,MACH-002,Line-A,79.59,1.865,92.5,Idle,
2024-01-01 23:05:00,MACH-003,Line-C,103.25,2.004,81.92,Fault,Motor Fault
2024-01-01 23:10:00,MACH-005,Line-B,93.85,1.746,116.97,Idle,
2024-01-01 23:15:00,MACH-001,Line-B,68.52,0.426,116.77,Running,
2024-01-01 23:20:00,MACH-003,Line-C,76.86,0.652,97.91,Running,
2024-01-01 23:25:00,MACH-001,Line-B,72.46,0.495,93.04,Running,
2024-01-01 23:30:00,MACH-004,Line-C,78.8,0.717,89.27,Running,
2024-01-01 23:35:00,MACH-001,Line-A,92.01,0.781,113.89,Running,
2024-01-01 23:40:00,MACH-001,Line-A,67.13,0.61,91.91,Running,
2024-01-01 23:45:00,MACH-005,Line-C,69.84,0.418,104.01,Running,
2024-01-01 23:50:00,MACH-005,Line-A,93.79,1.721,89.3,Warning,
2024-01-01 23:55:00,MACH-002,Line-B,81.62,0.982,94.25,Running,
2024-01-02 00:00:00,MACH-003,Line-C,81.84,0.741,95.23,Running,
2024-01-02 00:05:00,MACH-002,Line-A,96.78,2.072,84.31,Fault,
2024-01-02 00:10:00,MACH-004,Line-C,96.5,1.815,117.51,Idle,
2024-01-02 00:15:00,MACH-004,Line-A,87.43,1.721,89.94,Fault,
2024-01-02 00:20:00,MACH-004,Line-C,79.8,0.461,110.51,Running,
2024-01-02 00:25:00,MACH-003,Line-B,72.13,0.369,101.83,Running,
2024-01-02 00:30:00,MACH-005,Line-A,109.24,2.088,99.81,Warning,
2024-01-02 00:35:00,MACH-001,Line-B,89.34,1.607,98.75,Fault,Vibration Spike
2024-01-02 00:40:00,MACH-003,Line-B,106.13,1.688,102.79,Idle,
2024-01-02 00:45:00,MACH-002,Line-C,77.98,0.094,89.86,Running,
2024-01-02 00:50:00,MACH-001,Line-C,85.73,0.373,87.45,Running,
2024-01-02 00:55:00,MACH-004,Line-C,97.31,2.144,94.09,Idle,
2024-01-02 01:00:00,MACH-005,Line-B,82.39,0.183,102.19,Running,
2024-01-02 01:05:00,MACH-003,Line-A,77.44,0.265,94.94,Running,
2024-01-02 01:10:00,MACH-003,Line-A,102.46,1.867,96.68,Warning,
2024-01-02 01:15:00,MACH-005,Line-C,106.2,1.504,108.75,Fault,
2024-01-02 01:20:00,MACH-001,Line-A,90.92,1.584,94.35,Warning,
2024-01-02 01:25:00,MACH-004,Line-C,75.7,0.714,82.32,Running,
2024-01-02 01:30:00,MACH-001,Line-C,107.17,1.915,112.17,Fault,Low Pressure
2024-01-02 01:35:00,MACH-002,Line-B,74.45,0.329,105.84,Running,
2024-01-02 01:40:00,MACH-003,Line-A,83.47,1.495,97.78,Idle,
2024-01-02 01:45:00,MACH-005,Line-C,92.64,1.627,104.98,Idle,
2024-01-02 01:50:00,MACH-005,Line-C,69.71,0.843,105.85,Running,
2024-01-02 01:55:00,MACH-004,Line-B,80.76,-0.085,86.74,Running,
2024-01-02 02:00:00,MACH-005,Line-C,99.61,1.388,107.8,Warning,
2024-01-02 02:05:00,MACH-005,Line-B,63.47,0.309,91.67,Running,
2024-01-02 02:10:00,MACH-001,Line-A,67.89,1.187,90.71,Running,
2024-01-02 02:15:00,MACH-002,Line-A,86.43,0.641,106.92,Running,
2024-01-02 02:20:00,MACH-005,Line-B,102.05,1.864,100.54,Fault,
2024-01-02 02:25:00,MACH-002,Line-C,70.78,0.694,113.94,Running,
2024-01-02 02:30:00,MACH-002,Line-B,87.39,1.918,96.71,Idle,
2024-01-02 02:35:00,MACH-005,Line-A,69.73,0.508,82.5,Running,
2024-01-02 02:40:00,MACH-005,Line-B,69.69,1.008,81.37,Running,
2024-01-02 02:45:00,MACH-005,Line-C,97.94,1.863,82.78,Warning,
2024-01-02 02:50:00,MACH-005,Line-C,100.87,1.308,104.89,Warning,Low Pressure
2024-01-02 02:55:00,MACH-004,Line-C,79.64,0.369,98.44,Running,
2024-01-02 03:00:00,MACH-001,Line-B,79.09,0.589,88.6,Running,
2024-01-02 03:05:00,MACH-001,Line-A,78.01,0.754,81.02,Running,
2024-01-02 03:10:00,MACH-004,Line-A,68.84,0.676,96.88,Running,
2024-01-02 03:15:00,MACH-001,Line-C,77.16,1.02,91.95,Running,
2024-01-02 03:20:00,MACH-003,Line-A,79.27,0.688,107.41,Running,
2024-01-02 03:25:00,MACH-004,Line-B,84.17,1.922,100.13,Warning,
2024-01-02 03:30:00,MACH-002,Line-B,62.71,0.354,95.22,Running,
2024-01-02 03:35:00,MACH-002,Line-C,74.33,0.66,105.11,Running,
2024-01-02 03:40:00,MACH-005,Line-C,108.32,2.218,98.51,Warning,Vibration Spike
2024-01-02 03:45:00,MACH-005,Line-A,74.17,0.451,91.86,Running,
2024-01-02 03:50:00,MACH-005,Line-B,75.49,0.811,97.83,Running,
2024-01-02 03:55:00,MACH-001,Line-C,92.09,0.906,98.63,Fault,
2024-01-02 04:00:00,MACH-001,Line-B,102.62,1.88,88.4,Warning,
2024-01-02 04:05:00,MACH-001,Line-A,84.48,0.524,114.61,Running,
2024-01-02 04:10:00,MACH-005,Line-C,95.18,1.64,94.55,Idle,
2024-01-02 04:15:00,MACH-002,Line-C,100.82,1.349,103.4,Idle,
2024-01-02 04:20:00,MACH-002,Line-A,87.77,0.7,91.96,Running,
2024-01-02 04:25:00,MACH-002,Line-B,76.75,0.396,107.89,Running,
2024-01-02 04:30:00,MACH-005,Line-A,106.24,1.899,95.52,Warning,Sensor Error
2024-01-02 04:35:00,MACH-003,Line-B,90.52,0.704,106.75,Running,
2024-01-02 04:40:00,MACH-004,Line-C,104.24,1.742,77.28,Warning,
2024-01-02 04:45:00,MACH-003,Line-C,75.28,0.483,95.99,Running,
2024-01-02 04:50:00,MACH-002,Line-C,93.59,1.91,95.46,Fault,Sensor Error
2024-01-02 04:55:00,MACH-004,Line-A,69.2,0.397,91.35,Running,
2024-01-02 05:00:00,MACH-003,Line-C,91.56,2.629,103.74,Fault,
2024-01-02 05:05:00,MACH-004,Line-A,73.98,0.002,98.63,Running,
2024-01-02 05:10:00,MACH-001,Line-A,82.0,0.132,95.19,Running,
2024-01-02 05:15:00,MACH-003,Line-C,76.57,0.212,108.69,Running,
2024-01-02 05:20:00,MACH-002,Line-A,87.68,1.889,96.25,Idle,
2024-01-02 05:25:00,MACH-005,Line-A,76.1,0.152,108.66,Running,
2024-01-02 05:30:00,MACH-001,Line-B,74.15,0.149,90.26,Running,
2024-01-02 05:35:00,MACH-003,Line-B,101.7,0.851,111.1,Idle,
2024-01-02 05:40:00,MACH-004,Line-B,86.24,0.909,79.57,Running,
2024-01-02 05:45:00,MACH-001,Line-C,100.08,2.663,94.06,Idle,
2024-01-02 05:50:00,MACH-003,Line-C,104.18,1.949,115.15,Idle,
2024-01-02 05:55:00,MACH-002,Line-A,65.14,0.348,99.72,Running,
2024-01-02 06:00:00,MACH-002,Line-C,75.46,0.433,90.95,Running,
2024-01-02 06:05:00,MACH-002,Line-C,92.44,2.077,104.05,Fault,Vibration Spike
2024-01-02 06:10:00,MACH-004,Line-C,96.79,1.245,123.97,Fault,
2024-01-02 06:15:00,MACH-001,Line-C,104.58,1.683,91.68,Warning,
2024-01-02 06:20:00,MACH-005,Line-A,75.47,0.343,79.87,Running,
2024-01-02 06:25:00,MACH-005,Line-C,74.71,0.441,105.6,Running,
2024-01-02 06:30:00,MACH-002,Line-A,84.16,0.382,99.14,Running,
2024-01-02 06:35:00,MACH-005,Line-C,78.17,0.68,106.01,Running,
2024-01-02 06:40:00,MACH-001,Line-C,86.16,1.584,106.65,Fault,Low Pressure
2024-01-02 06:45:00,MACH-003,Line-A,104.85,1.833,97.86,Fault,Overheating
2024-01-02 06:50:00,MACH-005,Line-B,67.05,0.084,87.64,Running,
2024-01-02 06:55:00,MACH-005,Line-A,80.71,0.34,93.4,Running,
2024-01-02 07:00:00,MACH-004,Line-B,63.3,0.632,105.66,Running,
2024-01-02 07:05:00,MACH-002,Line-C,81.95,0.296,94.62,Running,
2024-01-02 07:10:00,MACH-003,Line-C,102.34,1.779,86.4,Idle,
2024-01-02 07:15:00,MACH-005,Line-B,83.04,0.359,110.17,Running,
2024-01-02 07:20:00,MACH-004,Line-B,76.63,0.575,118.82,Running,
2024-01-02 07:25:00,MACH-002,Line-C,69.62,0.771,78.53,Running,
2024-01-02 07:30:00,MACH-003,Line-B,75.77,0.149,88.3,Running,
2024-01-02 07:35:00,MACH-004,Line-B,74.13,0.753,105.36,Running,
2024-01-02 07:40:00,MACH-002,Line-C,72.81,0.453,97.36,Running,
2024-01-02 07:45:00,MACH-004,Line-B,85.58,-0.066,95.57,Running,
2024-01-02 07:50:00,MACH-002,Line-C,73.09,-0.005,93.26,Running,
2024-01-02 07:55:00,MACH-005,Line-B,81.04,0.339,106.27,Running,
2024-01-02 08:00:00,MACH-005,Line-A,90.54,2.686,97.87,Warning,
2024-01-02 08:05:00,MACH-004,Line-B,71.36,0.576,91.26,Running,
2024-01-02 08:10:00,MACH-002,Line-C,68.52,0.318,102.73,Running,
2024-01-02 08:15:00,MACH-003,Line-C,95.56,1.405,103.65,Warning,
2024-01-02 08:20:00,MACH-002,Line-B,81.36,0.39,89.17,Running,
2024-01-02 08:25:00,MACH-005,Line-B,81.9,0.142,99.45,Running,
2024-01-02 08:30:00,MACH-005,Line-B,73.55,0.509,97.65,Running,
2024-01-02 08:35:00,MACH-005,Line-C,78.36,0.64,84.61,Running,
2024-01-02 08:40:00,MACH-001,Line-A,93.86,2.236,112.94,Fault,
2024-01-02 08:45:00,MACH-001,Line-C,93.16,2.002,112.36,Fault,
2024-01-02 08:50:00,MACH-004,Line-A,77.59,0.299,86.06,Running,
2024-01-02 08:55:00,MACH-001,Line-A,89.53,1.53,105.04,Warning,
2024-01-02 09:00:00,MACH-004,Line-A,109.26,1.508,99.68,Fault,
2024-01-02 09:05:00,MACH-005,Line-B,72.14,-0.486,86.77,Running,
2024-01-02 09:10:00,MACH-005,Line-C,103.55,1.711,87.7,Warning,
2024-01-02 09:15:00,MACH-003,Line-C,92.92,1.88,107.03,Fault,
2024-01-02 09:20:00,MACH-003,Line-C,96.2,0.194,102.07,Running,
2024-01-02 09:25:00,MACH-004,Line-C,62.61,0.118,101.62,Running,
2024-01-02 09:30:00,MACH-003,Line-B,83.67,0.812,79.63,Running,
2024-01-02 09:35:00,MACH-002,Line-A,90.37,1.222,106.51,Running,
2024-01-02 09:40:00,MACH-003,Line-C,94.91,1.592,103.74,Warning,Sensor Error
2024-01-02 09:45:00,MACH-003,Line-A,69.39,0.881,110.41,Running,
2024-01-02 09:50:00,MACH-002,Line-B,70.25,0.177,97.87,Running,
2024-01-02 09:55:00,MACH-003,Line-A,93.0,1.353,102.61,Idle,
