event_id,machine_id,production_line,start_time,duration_minutes,cause,resolved_by,notes
DT-0086,MACH-005,Line-B,2024-01-07 18:00:00,78,Power Outage,Supervisor,Recalibrated sensor
DT-0087,MACH-005,Line-B,2024-01-07 14:00:00,89,Material Shortage,Technician A,Reset PLC
DT-0088,MACH-003,Line-B,2024-01-04 21:00:00,86,Scheduled Maintenance,Supervisor,Recalibrated sensor
DT-0089,MACH-005,Line-C,2024-01-06 13:00:00,58,Scheduled Maintenance,Supervisor,Reset PLC
DT-0090,MACH-005,Line-A,2024-01-05 13:00:00,13,Quality Hold,Supervisor,Cleared jam
DT-0091,MACH-002,Line-C,2024-01-04 22:00:00,26,Power Outage,Auto-Recovery,Reset PLC
DT-0092,MACH-003,Line-B,2024-01-04 08:00:00,197,Quality Hold,Supervisor,Replaced bearing
DT-0093,MACH-005,Line-A,2024-01-02 21:00:00,164,Power Outage,Auto-Recovery,Cleared jam
DT-0094,MACH-001,Line-B,2024-01-05 20:00:00,111,Power Outage,Supervisor,Lubricated actuator
DT-0095,MACH-005,Line-A,2024-01-05 06:00:00,240,Material Shortage,Technician A,Replaced bearing
DT-0096,MACH-002,Line-A,2024-01-05 11:00:00,60,Power Outage,Auto-Recovery,Lubricated actuator
DT-0097,MACH-004,Line-C,2024-01-02 22:00:00,201,Material Shortage,Auto-Recovery,Lubricated actuator
DT-0098,MACH-005,Line-B,2024-01-05 17:00:00,235,Operator Error,Auto-Recovery,Recalibrated sensor
DT-0099,MACH-003,Line-C,2024-01-02 09:00:00,175,Power Outage,Supervisor,Lubricated actuator
DT-0100,MACH-004,Line-B,2024-01-05 13:00:00,131,Changeover,Supervisor,Lubricated actuator
DT-0101,MACH-003,Line-A,2024-01-03 03:00:00,107,Power Outage,Auto-Recovery,Awaiting parts
DT-0102,MACH-001,Line-B,2024-01-03 02:00:00,179,Power Outage,Supervisor,Awaiting parts
DT-0103,MACH-001,Line-C,2024-01-05 15:00:00,53,Scheduled Maintenance,Technician B,Cleared jam
DT-0104,MACH-001,Line-C,2024-01-07 20:00:00,133,Power Outage,Supervisor,Replaced bearing
DT-0105,MACH-002,Line-A,2024-01-04 17:00:00,161,Power Outage,Supervisor,Recalibrated sensor
DT-0106,MACH-001,Line-C,2024-01-02 05:00:00,99,Power Outage,Supervisor,Cleared jam
DT-0107,MACH-002,Line-A,2024-01-06 16:00:00,226,Material Shortage,Auto-Recovery,Recalibrated sensor
DT-0108,MACH-004,Line-C,2024-01-03 19:00:00,49,Scheduled Maintenance,Auto-Recovery,Lubricated actuator
DT-0109,MACH-001,Line-A,2024-01-04 09:00:00,21,Power Outage,Supervisor,Awaiting parts
DT-0110,MACH-005,Line-B,2024-01-03 20:00:00,180,Scheduled Maintenance,Technician B,Awaiting parts
DT-0111,MACH-001,Line-C,2024-01-06 14:00:00,169,Changeover,Auto-Recovery,Lubricated actuator
DT-0112,MACH-001,Line-A,2024-01-03 20:00:00,123,Quality Hold,Technician A,Recalibrated sensor
DT-0113,MACH-005,Line-B,2024-01-05 14:00:00,226,Changeover,Supervisor,Replaced bearing
DT-0114,MACH-005,Line-A,2024-01-05 16:00:00,71,Quality Hold,Technician A,Awaiting parts
DT-0115,MACH-001,Line-B,2024-01-06 09:00:00,216,Changeover,Supervisor,Recalibrated sensor
DT-0116,MACH-004,Line-C,2024-01-01 16:00:00,98,Power Outage,Supervisor,Awaiting parts
DT-0117,MACH-002,Line-B,2024-01-02 13:00:00,31,Changeover,Technician A,Recalibrated sensor
DT-0118,MACH-004,Line-C,2024-01-03 01:00:00,98,Operator Error,Technician B,Lubricated actuator
DT-0119,MACH-003,Line-A,2024-01-06 09:00:00,58,Operator Error,Technician A,Awaiting parts
DT-0120,MACH-002,Line-B,2024-01-06 11:00:00,197,Operator Error,Auto-Recovery,Recalibrated sensor
